code,name,state
2101103,axixa,MA
1702901,axixa do tocantins,TO
2100055,acailandia,MA
2400208,acu,RN
3100500,acucena,MG
1703008,babaculandia,TO
2101202,bacabal,MA
2101251,bacabeira,MA
2101301,bacuri,MA
2101350,bacurituba,MA
3504602,bady bassitt,SP
3104908,baependi,MG
1501105,bagre,PA
4301602,bage,RS
2902500,baianopolis,BA
2902609,baixa grande,BA
2201150,baixa grande do ribeiro,PI
2301802,baixio,CE
3200805,baixo guandu,ES
1501204,baiao,PA
3504701,balbinos,SP
3105004,baldim,MG
5203104,baliza,GO
4201950,balneario arroio do silva,SC
4202057,balneario barra do sul,SC
4202008,balneario camboriu,SC
4202073,balneario gaivota,SC
4301636,balneario pinhal,RS
4212809,balneario picarras,SC
4220000,balneario rincao,SC
4102307,balsa nova,PR
2101400,balsas,MA
3105103,bambui,MG
2301851,banabuiu,CE
3504909,bananal,SP
2501500,bananeiras,PB
3105202,bandeira,MG
3105301,bandeira do sul,MG
4202081,bandeirante,SC
4102406,bandeirantes,PR
5001508,bandeirantes,MS
1703057,bandeirantes do tocantins,TO
1501253,bannach,PA
2902658,banzae,BA
2401453,barauna,RN
2501534,barauna,PB
3105608,barbacena,MG
2301901,barbalha,CE
3505104,barbosa,SP
4102505,barbosa ferraz,PR
1501303,barcarena,PA
2401503,barcelona,RN
1300409,barcelos,AM
3505203,bariri,SP
2902708,barra,BA
3505302,barra bonita,SP
4202099,barra bonita,SC
2201176,barra d alcantara,PI
4301958,barra funda,RS
3105707,barra longa,MG
3300407,barra mansa,RJ
4202107,barra velha,SC
2902807,barra da estiva,BA
2601300,barra de guabiraba,PE
2501609,barra de santa rosa,PB
2501575,barra de santana,PB
2700508,barra de santo antonio,AL
3200904,barra de sao francisco,ES
2501708,barra de sao miguel,PB
2700607,barra de sao miguel,AL
5101704,barra do bugres,MT
3505351,barra do chapeu,SP
2902906,barra do choca,BA
2101608,barra do corda,MA
5101803,barra do garcas,MT
4301859,barra do guarita,RS
4102703,barra do jacare,PR
2903003,barra do mendes,BA
1703073,barra do ouro,TO
3300308,barra do pirai,RJ
4301875,barra do quarai,RS
4301909,barra do ribeiro,RS
4301925,barra do rio azul,RS
2903102,barra do rocha,BA
3505401,barra do turvo,SP
2800605,barra dos coqueiros,SE
4102604,barracao,PR
4301800,barracao,RS
2201200,barras,PI
2301950,barreira,CE
2903201,barreiras,BA
2201309,barreiras do piaui,PI
1300508,barreirinha,AM
2101707,barreirinhas,MA
2601409,barreiros,PE
3505500,barretos,SP
3505609,barrinha,SP
2302008,barro,CE
2903235,barro alto,BA
5203203,barro alto,GO
2201408,barro duro,PI
2903300,barro preto,BA
2903276,barrocas,BA
1703107,barrolandia,TO
2302057,barroquinha,CE
4302006,barros cassal,RS
3105905,barroso,MG
3505708,barueri,SP
4301651,barao,RS
3505005,barao de antonina,SP
3105400,barao de cocais,MG
4301701,barao de cotegipe,RS
2101509,barao de grajau,MA
5101605,barao de melgaco,MT
3105509,barao de monte alto,MG
4301750,barao do triunfo,RS
3505807,bastos,SP
5001904,bataguassu,MS
2201507,batalha,PI
2700706,batalha,AL
3505906,batatais,SP
5002001,bataypora,MS
2302107,baturite,CE
3506003,bauru,SP
2501807,bayeux,PB
2401404,baia formosa,RN
2501401,baia da traicao,PB
3506102,bebedouro,SP
2302206,beberibe,CE
2302305,bela cruz,CE
5002100,bela vista,MS
4102752,bela vista da caroba,PR
5203302,bela vista de goias,GO
3106002,bela vista de minas,MG
2101772,bela vista do maranhao,MA
4102802,bela vista do paraiso,PR
2201556,bela vista do piaui,PI
4202131,bela vista do toldo,SC
3300456,belford roxo,RJ
3106101,belmiro braga,MG
2903409,belmonte,BA
4202156,belmonte,SC
2903508,belo campo,BA
3106200,belo horizonte,MG
2601706,belo jardim,PE
2700904,belo monte,AL
3106309,belo oriente,MG
3106408,belo vale,MG
1501451,belterra,PA
2101731,belagua,MA
1501402,belem,PA
2501906,belem,PB
2700805,belem,AL
2601508,belem de maria,PE
2502003,belem do brejo do cruz,PB
2201572,belem do piaui,PI
2601607,belem do sao francisco,PE
2201606,beneditinos,PI
2101806,benedito leite,MA
4202206,benedito novo,SC
1501501,benevides,PA
1300607,benjamin constant,AM
4302055,benjamin constant do sul,RS
2401602,bento fernandes,RN
4302105,bento goncalves,RS
3506201,bento de abreu,SP
2101905,bequimao,MA
3106507,berilo,MG
3106655,berizal,MG
2502052,bernardino batista,PB
3506300,bernardino de campos,SP
1703206,bernardo sayao,TO
2101939,bernardo do mearim,MA
3506359,bertioga,SP
2201705,bertolinia,PI
3106606,bertopolis,MG
1300631,beruri,AM
3106705,betim,MG
2601805,betania,PE
2201739,betania do piaui,PI
2601904,bezerros,PE
3106804,bias fortes,MG
3106903,bicas,MG
4202305,biguacu,SC
3506409,bilac,SP
3107000,biquinhas,MG
3506508,birigui,SP
3506607,biritiba mirim,SP
2903607,biritinga,BA
4102901,bituruna,PR
4202404,blumenau,SC
3107109,boa esperanca,MG
3201001,boa esperanca,ES
4103008,boa esperanca,PR
4103024,boa esperanca do iguacu,PR
3506706,boa esperanca do sul,SP
2201770,boa hora,PI
2903706,boa nova,BA
2502102,boa ventura,PB
4103040,boa ventura de sao roque,PR
2302404,boa viagem,CE
1400100,boa vista,RR
2502151,boa vista,PB
4103057,boa vista da aparecida,PR
4302154,boa vista das missoes,RS
4302204,boa vista do burica,RS
4302220,boa vista do cadeado,RS
2101970,boa vista do gurupi,MA
4302238,boa vista do incra,RS
1300680,boa vista do ramos,AM
4302253,boa vista do sul,RS
2903805,boa vista do tupim,BA
2701001,boca da mata,AL
1300706,boca do acre,AM
2201804,bocaina,PI
3506805,bocaina,SP
3107208,bocaina de minas,MG
4202438,bocaina do sul,SC
3107307,bocaiuva,MG
4103107,bocaiuva do sul,PR
2602001,bodoco,PE
5002159,bodoquena,MS
2401651,bodo,RN
3506904,bofete,SP
3507001,boituva,SP
2602100,bom conselho,PE
3107406,bom despacho,MG
2102002,bom jardim,MA
2602209,bom jardim,PE
3300506,bom jardim,RJ
4202503,bom jardim da serra,SC
5203401,bom jardim de goias,GO
3107505,bom jardim de minas,MG
2201903,bom jesus,PI
2401701,bom jesus,RN
2502201,bom jesus,PB
4202537,bom jesus,SC
4302303,bom jesus,RS
2903904,bom jesus da lapa,BA
3107604,bom jesus da penha,MG
2903953,bom jesus da serra,BA
2102036,bom jesus das selvas,MA
5203500,bom jesus de goias,GO
3107703,bom jesus do amparo,MG
5101852,bom jesus do araguaia,MT
3107802,bom jesus do galho,MG
3300605,bom jesus do itabapoana,RJ
3201100,bom jesus do norte,ES
4202578,bom jesus do oeste,SC
4103156,bom jesus do sul,PR
1501576,bom jesus do tocantins,PA
1703305,bom jesus do tocantins,TO
3507100,bom jesus dos perdoes,SP
2102077,bom lugar,MA
4302352,bom principio,RS
2201919,bom principio do piaui,PI
4302378,bom progresso,RS
3107901,bom repouso,MG
4202602,bom retiro,SC
4302402,bom retiro do sul,RS
2502300,bom sucesso,PB
3108008,bom sucesso,MG
4103206,bom sucesso,PR
3507159,bom sucesso de itarare,SP
4103222,bom sucesso do sul,PR
4202453,bombinhas,SC
1400159,bonfim,RR
3108107,bonfim,MG
2201929,bonfim do piaui,PI
5203559,bonfinopolis,GO
3108206,bonfinopolis de minas,MG
2904001,boninal,BA
1501600,bonito,PA
2602308,bonito,PE
2904050,bonito,BA
5002209,bonito,MS
3108255,bonito de minas,MG
2502409,bonito de santa fe,PB
5203575,bonopolis,GO
2502508,boqueirao,PB
4302451,boqueirao do leao,RS
2201945,boqueirao do piaui,PI
2800670,boquim,SE
2904100,boquira,BA
3507308,boraceia,SP
1300805,borba,AM
2502706,borborema,PB
3507407,borborema,SP
3108305,borda da mata,MG
3507456,borebi,SP
4103305,borrazopolis,PR
3507209,bora,SP
4302501,bossoroca,RS
3108404,botelhos,MG
3507506,botucatu,SP
3108503,botumirim,MG
2904209,botupora,BA
4202701,botuvera,SC
4302584,bozano,RS
4302600,braga,RS
4103354,braganey,PR
1501709,braganca,PA
3507605,braganca paulista,SP
2701100,branquinha,AL
1501725,brasil novo,PA
2201960,brasileira,PI
5002308,brasilandia,MS
3108552,brasilandia de minas,MG
4103370,brasilandia do sul,PR
1703602,brasilandia do tocantins,TO
1200104,brasileia,AC
5101902,brasnorte,MT
5300108,brasilia,DF
3108602,brasilia de minas,MG
5203609,brazabrantes,GO
3108909,brazopolis,MG
4202800,braco do norte,SC
4202859,braco do trombudo,SC
3507704,brauna,SP
3108800,braunas,MG
3201159,brejetuba,ES
2401800,brejinho,RN
2602506,brejinho,PE
1703701,brejinho de nazare,TO
2102101,brejo,MA
3507753,brejo alegre,SP
2800704,brejo grande,SE
1501758,brejo grande do araguaia,PA
2302503,brejo santo,CE
2602605,brejo da madre de deus,PE
2102150,brejo de areia,MA
2502805,brejo do cruz,PB
2201988,brejo do piaui,PI
2502904,brejo dos santos,PB
2904407,brejolandia,BA
2602407,brejao,PE
2904308,brejoes,BA
1501782,breu branco,PA
1501808,breves,PA
5203807,britania,GO
4302659,brochier,RS
3507803,brodowski,SP
3507902,brotas,SP
2904506,brotas de macaubas,BA
3109006,brumadinho,MG
2904605,brumado,BA
4202875,brunopolis,SC
4202909,brusque,SC
3108701,bras pires,MG
3109105,bueno brandao,MG
2602704,buenos aires,PE
3109204,buenopolis,MG
2904704,buerarema,BA
3109253,bugre,MG
1200138,bujari,AC
1501907,bujaru,PA
3508009,buri,SP
3508108,buritama,SP
2102200,buriti,MA
5203906,buriti alegre,GO
2102309,buriti bravo,MA
5203939,buriti de goias,GO
1703800,buriti do tocantins,TO
2202000,buriti dos lopes,PI
2202026,buriti dos montes,PI
2102325,buriticupu,MA
5203962,buritinopolis,GO
2904753,buritirama,BA
2102358,buritirana,MA
1100452,buritis,RO
3109303,buritis,MG
3508207,buritizal,SP
3109402,buritizeiro,MG
4302709,butia,RS
2602803,buique,PE
3504800,balsamo,SP
1300839,caapiranga,AM
2503001,caapora,PB
5002407,caarapo,MS
2904803,caatiba,BA
2503100,cabaceiras,PB
2904852,cabaceiras do paraguacu,BA
3109451,cabeceira grande,MG
5204003,cabeceiras,GO
2202059,cabeceiras do piaui,PI
2503209,cabedelo,PB
1100031,cabixi,RO
3300704,cabo frio,RJ
3109501,cabo verde,MG
2602902,cabo de santo agostinho,PE
3508405,cabreuva,SP
2603009,cabrobo,PE
3508306,cabralia paulista,SP
1100601,cacaulandia,RO
4302907,cacequi,RS
2904902,cachoeira,BA
5204102,cachoeira alta,GO
3109808,cachoeira dourada,MG
5204250,cachoeira dourada,GO
2102374,cachoeira grande,MA
3508603,cachoeira paulista,SP
3109600,cachoeira da prata,MG
5204201,cachoeira de goias,GO
3109709,cachoeira de minas,MG
3102704,cachoeira de pajeu,MG
1502004,cachoeira do arari,PA
1501956,cachoeira do piria,PA
4303004,cachoeira do sul,RS
2503308,cachoeira dos indios,PB
3300803,cachoeiras de macacu,RJ
1703826,cachoeirinha,TO
2603108,cachoeirinha,PE
4303103,cachoeirinha,RS
3201209,cachoeiro de itapemirim,ES
2503407,cacimba de areia,PB
2503506,cacimba de dentro,PB
2503555,cacimbas,PB
2701209,cacimbinhas,AL
4303202,cacique doble,RS
1100049,cacoal,RO
3508702,caconde,SP
2905008,cacule,BA
2905156,caetanos,BA
3109907,caetanopolis,MG
2905206,caetite,BA
3110004,caete,MG
2603207,caetes,PE
2905305,cafarnaum,BA
4103404,cafeara,PR
3508801,cafelandia,SP
4103453,cafelandia,PR
4103479,cafezal do sul,PR
3508900,caiabu,SP
3110103,caiana,MG
5204409,caiaponia,GO
4303301,caibate,RS
4203105,caibi,SC
2402006,caico,RN
3509007,caieiras,SP
2905404,cairu,BA
3509106,caiua,SP
2503605,caicara,PB
4303400,caicara,RS
2401859,caicara do norte,RN
2401909,caicara do rio do vento,RN
3509205,cajamar,SP
2102408,cajapio,MA
2102507,cajari,MA
3509254,cajati,SP
2503704,cajazeiras,PB
2202075,cajazeiras do piaui,PI
2503753,cajazeirinhas,PB
3509304,cajobi,SP
2701308,cajueiro,AL
2202083,cajueiro da praia,PI
3110202,cajuri,MG
3509403,cajuru,SP
3110301,caldas,MG
2503803,caldas brandao,PB
5204508,caldas novas,GO
5204557,caldazinha,GO
2905503,caldeirao grande,BA
2202091,caldeirao grande do piaui,PI
4103503,california,PR
4203154,calmon,SC
2603405,calumbi,PE
2603306,calcado,PE
1600204,calcoene,AP
2905602,camacan,BA
3110400,camacho,MG
2503902,camalau,PB
2905800,camamu,BA
3110509,camanducaia,MG
5002605,camapua,MS
4303509,camaqua,RS
2603454,camaragibe,PE
4303558,camargo,RS
2905701,camacari,BA
4103602,cambara,PR
4303608,cambara do sul,RS
4103800,cambira,PR
4203204,camboriu,SC
3300902,cambuci,RJ
3110707,cambuquira,MG
3110608,cambui,MG
4103701,cambe,PR
1502103,cameta,PA
2302602,camocim,CE
2603504,camocim de sao felix,PE
3110905,campanha,MG
3110806,campanario,MG
2701357,campestre,AL
3111002,campestre,MG
4303673,campestre da serra,RS
5204607,campestre de goias,GO
2102556,campestre do maranhao,MA
2504009,campina grande,PB
4104006,campina grande do sul,PR
3111101,campina verde,MG
4103909,campina da lagoa,PR
4303707,campina das missoes,RS
3509452,campina do monte alegre,SP
4103958,campina do simao,PR
3509502,campinas,SP
2202109,campinas do piaui,PI
4303806,campinas do sul,RS
5204656,campinacu,GO
5204706,campinorte,GO
5102603,campinapolis,MT
2701407,campo alegre,AL
4203303,campo alegre,SC
5204805,campo alegre de goias,GO
2905909,campo alegre de lourdes,BA
2202117,campo alegre do fidalgo,PI
3111150,campo azul,MG
3111200,campo belo,MG
4203402,campo belo do sul,SC
4303905,campo bom,RS
4104055,campo bonito,PR
4203501,campo ere,SC
3111408,campo florido,MG
2906006,campo formoso,BA
2401305,campo grande,RN
2701506,campo grande,AL
5002704,campo grande,MS
2202133,campo grande do piaui,PI
4104204,campo largo,PR
2202174,campo largo do piaui,PI
3509601,campo limpo paulista,SP
5204854,campo limpo de goias,GO
4104253,campo magro,PR
2202208,campo maior,PI
4104303,campo mourao,PR
4304002,campo novo,RS
1100700,campo novo de rondonia,RO
5102637,campo novo do parecis,MT
2402105,campo redondo,RN
5102678,campo verde,MT
2801009,campo do brito,SE
3111309,campo do meio,MG
4104105,campo do tenente,PR
3111507,campos altos,MG
5204904,campos belos,GO
4304101,campos borges,RS
3111606,campos gerais,MG
1703842,campos lindos,TO
4203600,campos novos,SC
3509809,campos novos paulista,SP
2302701,campos sales,CE
5204953,campos verdes,GO
5102686,campos de julio,MT
3509700,campos do jordao,SP
3301009,campos dos goytacazes,RJ
2603603,camutanga,PE
3111903,cana verde,MG
5102694,canabrava do norte,MT
3509908,cananeia,SP
2701605,canapi,AL
2906204,canarana,BA
5102702,canarana,MT
3509957,canas,SP
2202251,canavieira,PI
2906303,canavieiras,BA
3111705,canaa,MG
1502152,canaa dos carajas,PA
2906402,candeal,BA
2906501,candeias,BA
3112000,candeias,MG
1100809,candeias do jamari,RO
4304200,candelaria,RS
2906600,candiba,BA
4304358,candiota,RS
4104428,candoi,PR
4304408,canela,RS
4203709,canelinha,SC
2402204,canguaretama,RN
4304507,cangucu,RS
2801108,canhoba,SE
2603702,canhotinho,PE
2302800,caninde,CE
2801207,caninde de sao francisco,SE
3510153,canitar,SP
4304606,canoas,RS
4203808,canoinhas,SC
2906808,cansancao,BA
3112059,cantagalo,MG
3301108,cantagalo,RJ
4104451,cantagalo,PR
2102705,cantanhede,MA
2202307,canto do buriti,PI
1400175,canta,RR
2906824,canudos,BA
4304614,canudos do vale,RS
1300904,canutama,AM
2906105,canapolis,BA
3111804,canapolis,MG
1502202,capanema,PA
4104501,capanema,PR
3112109,caparao,MG
2701704,capela,AL
2801306,capela,SE
3112208,capela nova,MG
4304689,capela de santana,RS
3510302,capela do alto,SP
2906857,capela do alto alegre,BA
3112307,capelinha,MG
3112406,capetinga,MG
2504033,capim,PB
3112505,capim branco,MG
2906873,capim grosso,BA
4203907,capinzal,SC
2102754,capinzal do norte,MA
3112604,capinopolis,MG
2302909,capistrano,CE
4304697,capitao,RS
3112653,capitao andrade,MG
3112703,capitao eneas,MG
2202455,capitao gervasio oliveira,PI
4104600,capitao leonidas marques,PR
1502301,capitao poco,PA
2202406,capitao de campos,PI
3112802,capitolio,MG
3510401,capivari,SP
4203956,capivari de baixo,SC
4304671,capivari do sul,RS
1200179,capixaba,AC
2603801,capoeiras,PE
3112901,caputira,MG
4203253,capao alto,SC
3510203,capao bonito,SP
4304622,capao bonito do sul,RS
4304630,capao da canoa,RS
4304655,capao do cipo,RS
4304663,capao do leao,RS
1400209,caracarai,RR
2202505,caracol,PI
5002803,caracol,MS
3510500,caraguatatuba,SP
4104659,carambei,PR
3113107,caranaiba,MG
3113206,carandai,MG
3113305,carangola,MG
3300936,carapebus,RJ
3510609,carapicuiba,SP
3113404,caratinga,MG
1301001,carauari,AM
2906907,caravelas,BA
4304705,carazinho,RS
4304713,caraa,RS
3113008,carai,MG
2906899,caraibas,BA
2402303,caraubas,RN
2504074,caraubas,PB
2202539,caraubas do piaui,PI
3113503,carbonita,MG
2907004,cardeal da silva,BA
3510708,cardoso,SP
3301157,cardoso moreira,RJ
3113602,careacu,MG
1301100,careiro,AM
1301159,careiro da varzea,AM
3201308,cariacica,ES
2303006,caridade,CE
2202554,caridade do piaui,PI
2907103,carinhanha,BA
2801405,carira,SE
1703867,cariri do tocantins,TO
2303204,caririacu,CE
2303105,carire,CE
2303303,carius,CE
5102793,carlinda,MT
4304804,carlos barbosa,RS
3113701,carlos chagas,MG
